Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\benite-apparel\fxmanifest.lua, line 18: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\client\main.lua, line 454: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\client\raycast.lua, line 20: RayCastGamePlayCamera
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\client\raycast.lua, line 35: RayCastGamePlayCamera
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 16: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 17: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 18: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 20: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 20: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 20: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 22: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 30: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 31: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 56: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 57: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 58: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 60: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 60: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 60: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 61: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 61: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 61: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 66: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 67: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 68: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 69: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 74: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 74: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\server\main.lua, line 76: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\client.lua, line 1: RequestNetworkControlOfObject
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\client.lua, line 2: NetworkDoesNetworkIdExist
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\client.lua, line 3: NetworkRequestControlOfNetworkId
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\client.lua, line 4: NetworkHasControlOfNetworkId
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\client.lua, line 6: NetworkRequestControlOfNetworkId
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\client.lua, line 11: NetworkRequestControlOfEntity
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\client.lua, line 12: NetworkHasControlOfEntity
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\client.lua, line 14: NetworkRequestControlOfEntity
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 35: RayCastGamePlayCamera
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 35: raycastDetectWorldOnly
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 48: raycastDetectWorldOnly
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 66: AddTextComponentString
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 105: FreezeEntityPosition
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 110: PlaceObjectOnGroundProperly
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 121: SetModelAsNoLongerNeeded
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 131: startItemPlacementMode
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 150: raycastDetectWorldOnly
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 155: RayCastGamePlayCamera
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 155: ItemPlacementModeRadius
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 155: raycastDetectWorldOnly
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 169: IsControlJustReleased
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 179: IsControlJustReleased
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 192: IsControlJustReleased
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 198: IsControlJustReleased
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 206: IsControlJustReleased
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 214: IsControlJustReleased
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 222: IsControlJustReleased
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 223: raycastDetectWorldOnly
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 223: raycastDetectWorldOnly
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 227: IsControlJustReleased
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 270: NetworkGetNetworkIdFromEntity
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 271: RequestNetworkControlOfObject
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 272: SetEntityAsMissionEntity
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 288: startItemPlacementMode
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 342: GetClosestObjectOfType
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 344: SetEntityAsMissionEntity
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 346: SetEntityAsNoLongerNeeded
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 357: GetDeletedWorldObjects
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 365: GetClosestObjectOfType
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 367: SetEntityAsMissionEntity
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\placeables.lua, line 369: SetEntityAsNoLongerNeeded
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 6: ReleasePushableObject
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 9: ClearPedTasksImmediately
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 19: PushableObjectAttachedThread
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 23: DisableControlAction
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 24: DisableControlAction
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 25: DisableControlAction
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 26: DisableControlAction
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 27: DisableControlAction
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 28: DisableControlAction
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 29: DisableControlAction
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 30: DisableControlAction
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 31: DisableControlAction
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 32: DisableControlAction
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 33: DisableControlAction
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 45: IsControlJustPressed
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 46: ReleasePushableObject
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 61: NetworkGetNetworkIdFromEntity
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 62: RequestNetworkControlOfObject
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 64: animationPushOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 65: animationPushOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 65: animationPushOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 67: animationPushOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 68: animationPushOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 73: AttachEntityToEntity
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 91: PushableObjectAttachedThread
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 91: animationPushOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 91: animationPushOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 112: AttachEntityToEntity
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 130: PushableObjectAttachedThread
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 136: GetCurrentResourceName
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 138: ReleasePushableObject
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 140: ClearPedTasksImmediately
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 153: IsPlayerSittingOnPlaceableProp
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 156: IsPlayerSittingOnPlaceableProp
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\client\pushables.lua, line 156: IsPlayerSittingOnPlaceableProp
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 15: ItemPlacementModeRadius
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 51: pushAndSitTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 52: animationPushOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 55: setCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 55: animationPushOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 58: animationPushOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 59: animationPushOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 59: animationPushOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 77: pushAndSitTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 82: animationPushOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 107: animationPushOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 118: chairCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 125: chairCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 134: yogaCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 143: printerCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 152: fireworkCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 159: buildFireworkSequence
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 166: trafficLightCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 175: trafficLightCustomPickupEvent
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 200: constructiongenerator
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 269: chairCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 270: chairCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 271: chairCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 272: chairCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 273: chairCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 315: pushAndSitTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 317: pushAndSitTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 321: setCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 322: pushAndSitTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 336: setCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 337: pushAndSitTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 351: setCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 361: setCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 371: setCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 381: setCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 391: setCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 401: setCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 411: setCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 421: setCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 431: setCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 441: setCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 451: setCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 452: pushAndSitTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 466: setCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 476: setCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 486: setCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 496: setCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 506: setCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 520: yogaCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 521: yogaCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 522: yogaCustomTargetOptions
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\wp-placeables\shared\BAK.config - Kopi.lua, line 526: printerCustomTargetOptions
